category	group	pg_key	per_chat	type	widget	save_fn	api_route	storage	runtime_consumer	read_fn	status
reactions	reactions_admin	reactions.admin_user_id	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_alan	limits.alan_greeting_cooldown	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
reactions	reactions_alan	reactions.alan_greeting_dir	true	str		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
reactions	reactions_permsoc	reactions.alan_mimic_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags	flags_permsoc_behavior	flags.alan_replies_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_alan	limits.alan_reply_interval	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_alan	limits.alan_silence_greeting_hours	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
reactions	reactions_alan	reactions.alan_username	true	str		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
reactions	reactions_alan	reactions.alan_user_id	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
reactions	reactions_summary	reactions.allowed_summary_ids	true	json		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_memory	limits.archive_memory_retention_days	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_memory	limits.belief_archive_threshold	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags	flags_memory	flags.belief_decay_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_memory	limits.belief_decay_per_month	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_memory	limits.belief_inactivity_days	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_memory	limits.belief_resonance_penalty	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_memory	limits.belief_resonance_threshold	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags	flags_memory	flags.bot_self_awareness_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
reactions	reactions_chat	reactions.chat_botword_pattern	true	str		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat	limits.chat_branch_context_hops	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat_budgets	limits.chat_budget_anchors_ratio	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat_budgets	limits.chat_budget_branch_ratio	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat_budgets	limits.chat_budget_global_ratio	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat_budgets	limits.chat_budget_map_ratio	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_rag	limits.chat_budget_rag_ratio	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat_budgets	limits.chat_budget_reserve_ratio	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat_budgets	limits.chat_budget_response_ratio	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat_budgets	limits.chat_budget_target_ratio	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat_budgets	limits.chat_budget_thread_ratio	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat	limits.chat_burst_limit	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
flags	limits_chat_budgets	flags.chat_context_budgets_enabled	true	bool		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	feature_gates/direct_chat_service/workers (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat_budgets	limits.chat_context_budget_tokens	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat	limits.chat_context_fill_ratio	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat	limits.chat_cooldown_seconds	true	float		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
limits	limits_chat	limits.chat_current_question_max_chars	true	int		saveBlock/saveConfigItem	/api/config (X-Chat-Id)	chat_profiles.chat_params.overrides	workers/RAG/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
