internal_key	display_name	description	data_type	current_value	default_value	scope	inheritance	read_api	write_api	validation	permissions	category	group	per_chat	secret	hidden	ui_visibility	widget	storage	runtime_consumer	read_fn	status
api_token	Токен Telegram-бота	-	str	{configured,last4}	{configured,last4}	global(infra)	n/a	нет API (env-only)	нет API (env-only)	n/a (env)	n/a (env-only)	infra	-	false	true	false	api-only	-	env/.env	ConfigCache / hot.get|get_chat_param	hot.get|get_chat_param	new
betterstack_host	Хост ingest BetterStack (регион проекта)	-	str	runtime	-	global(infra)	n/a	нет API (env-only)	нет API (env-only)	n/a (env)	n/a (env-only)	infra	-	false	false	false	api-only	-	env/.env	ConfigCache / hot.get|get_chat_param	hot.get|get_chat_param	new
checkup_journalctl_cmd	Команда journalctl для чекапа	-	str	runtime	-	global(infra)	n/a	нет API (env-only)	нет API (env-only)	n/a (env)	n/a (env-only)	infra	-	false	false	false	api-only	-	env/.env	ConfigCache / hot.get|get_chat_param	hot.get|get_chat_param	new
cobalt_api_url	URL self-hosted cobalt	-	str	runtime	-	global(infra)	n/a	нет API (env-only)	нет API (env-only)	n/a (env)	n/a (env-only)	infra	-	false	false	false	api-only	-	env/.env	ConfigCache / hot.get|get_chat_param	hot.get|get_chat_param	new
cobalt_http_proxy	Исходящий HTTP-прокси cobalt	-	str	{configured,last4}	{configured,last4}	global(infra)	n/a	нет API (env-only)	нет API (env-only)	n/a (env)	n/a (env-only)	infra	-	false	true	false	api-only	-	env/.env	ConfigCache / hot.get|get_chat_param	hot.get|get_chat_param	new
content.info_how_it_works	Текст «Как это работает» (rich-HTML)	Справка для пользователей админки. Разметка HTML — можно картинки и ссылки.	json	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	json	view: role-matrix; edit: local_admin/global_admin	content	content_info	true	false	false	visible	-	chat_profiles.chat_params.overrides	info_service/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
content.intelligence_guide	Гайд по возможностям бота (Markdown)	Человекочитаемый FAQ-гайд, редактируется в админке. Markdown: заголовки, списки, ссылки, код. Рендер на фронте + санитайз DOMPurify.	json	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	json	view: role-matrix; edit: local_admin/global_admin	content	content_info	true	false	false	visible	-	bot_settings[content.intelligence_guide]	info_service.get_guide/hot.get	get_guide|hot.get	OK
content.media_public_base_url	Внешний базовый адрес /media	Публичный адрес, по которому сервис видео видит опубликованные ролики.	str	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	str; непустая строка	view: role-matrix; edit: local_admin/global_admin	content	content_media	true	false	false	visible	-	chat_profiles.chat_params.overrides	info_service/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
content.media_share_dir	Каталог временной публикации видео	Папка, куда копируются видео для пересказа «по кадрам» (вне web-статики). Относительно корня проекта.	str	runtime	-	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	str; непустая строка	view: role-matrix; edit: local_admin/global_admin	content	content_media	true	false	false	visible	-	chat_profiles.chat_params.overrides	info_service/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
content.no_key_reply	Ответ «нет ключа» (sandbox)	Фраза бота, когда у чата нет своего ключа и общий недоступен. Нейросеть при этом не вызывается.	str	runtime	code:services.sandbox_reply.DEFAULT_NO_KEY_REPLY	global|chat|direct	global → chat(override)	GET /api/config; GET /api/config/params-meta	POST /api/config (X-Chat-Id); DELETE /api/config/chat/{key} (сброс override)	str; непустая строка	view: role-matrix; edit: local_admin/global_admin	content	content_info	true	false	false	visible	-	chat_profiles.chat_params.overrides	info_service/direct_chat_service (hot.get|get_chat_param)	hot.get|get_chat_param	OK
